danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,time_signature_0,time_signature_1,time_signature_2,time_signature_3,time_signature_4,time_signature_5,mode_0,mode_1,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,clusters
0.511,0.472,-9.277,0.091,0.534,0.614,0.11,0.0399,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,9
0.742,0.546,-7.694,0.0315,0.172,0.38,0.115,0.868,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
0.609,0.629,-5.024,0.0264,0.425,0.0,0.0978,0.325,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8
0.73,0.77,-5.114,0.0298,0.138,0.0,0.0473,0.507,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
0.706,0.5579999999999999,-7.237,0.0593,0.146,0.0,0.118,0.227,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6
0.851,0.8059999999999999,-4.62,0.0787,0.118,1.64e-06,0.121,0.787,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8
0.237,0.269,-9.61,0.0298,0.573,0.000283,0.101,0.0681,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,9
0.638,0.826,-4.968,0.0479,0.139,0.0,0.0803,0.649,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
0.429,0.6609999999999999,-7.227,0.0281,0.00239,0.00013000000000000002,0.234,0.285,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
0.27,0.275,-10.357,0.0356,0.8340000000000001,0.0,0.146,0.232,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
0.6759999999999999,0.807,-5.131,0.029,0.0284,0.0,0.0701,0.443,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8
0.605,0.934,-4.059,0.0377,0.0011,1.19e-05,0.185,0.75,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
0.397,0.8170000000000001,-5.495,0.042,0.0966,8.16e-06,0.316,0.416,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8
0.473,0.871,-4.732,0.0668,0.17800000000000002,0.0,0.0584,0.578,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8
0.537,0.866,-3.08,0.0445,0.000308,1.38e-06,0.382,0.416,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4
0.643,0.502,-6.558,0.0392,0.07,0.0344,0.149,0.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
0.399,0.721,-5.562,0.0523,0.0621,0.00282,0.278,0.113,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
0.609,0.445,-9.129,0.106,0.603,6.77e-06,0.104,0.166,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,9
0.573,0.454,-10.286,0.0258,0.479,1.36e-05,0.0974,0.515,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
0.313,0.491,-7.939,0.0387,0.321,1.82e-06,0.0863,0.243,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2
0.583,0.271,-15.866,0.0299,0.545,0.0,0.14800000000000002,0.235,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0.612,0.748,-5.0139999999999985,0.0445,0.617,0.0,0.16699999999999998,0.574,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8
0.574,0.6940000000000001,-4.697,0.0327,0.00481,0.0,0.102,0.401,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8
0.695,0.599,-6.3889999999999985,0.0317,0.117,0.0,0.118,0.187,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
0.7290000000000001,0.675,-5.292000000000002,0.0286,4.14e-05,0.00126,0.0867,0.74,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.643,0.4,-5.7120000000000015,0.0304,0.214,0.0,0.0866,0.226,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8
0.597,0.517,-6.962999999999999,0.365,0.179,0.0,0.307,0.412,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
0.6709999999999999,0.909,-3.213,0.0569,0.0108,0.0,0.6,0.795,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4
0.518,0.809,-5.4510000000000005,0.0382,0.13699999999999998,0.000239,0.119,0.0957,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
