,artist,album,track,track_id
0,Lorde,Pure Heroine,Ribs,2MvvoeRt8NcOXWESkxWn3g
1,Clairo,Immunity,Bags,6UFivO2zqqPFPoQYsEMuCc
2,The Script,The Script,The Man Who Can't Be Moved,4Musyaro0NM5Awx8b5c627
3,Adele,21,Rolling in the Deep,1eq1wUnLVLg4pdEfx9kajC
4,Bruno Mars,Doo-Wops & Hooligans,Grenade,4lLtanYk6tkMvooU0tWzG8
5,Lady Gaga,The Fame,Poker Face,1QV6tiMFM6fSOKOGLMHYYg
6,Christina Perri,lovestrong.,the lonely,21JTgoZLDB2F4Fx0uRCmTL
7,Katy Perry,Katy Perry - Teenage Dream: The Complete Confection,Firework,4lCv7b86sLynZbXhfScfm2
8,Coldplay,Parachutes,Yellow,3AJwUDP919kvQ9QcozQPxg
9,Sara Bareilles,Little Voice,Gravity,4oa14QBfWRDfJy2agySy0L
10,Kelly Clarkson,Stronger (Deluxe Version),Mr. Know It All,7CHIJREUYyM7vndBQE6iMy
11,Gotye,Making Mirrors,In Your Light,7LaNtA4nlbdbevO0Fc2pfm
12,OneRepublic,Dreaming Out Loud,All We Are,5scATmVtmhc3tkDpR026Da
13,James Morrison,Undiscovered (International Version),Call The Police,1y9U1pdI3naKK7sArioECH
14,P!nk,Funhouse (Deluxe Version),So What,4LyvsPgJtjUQQtw0FJ6Jys
15,Alex Clare,The Lateness Of The Hour,I Love You,2eaBBVEfoRK4MJYmIAeNw8
16,Lana Del Rey,Born To Die - The Paradise Edition,Off To The Races,3uUCgL0cbSd0isnqhHCm1f
17,Alicia Keys,The Diary Of Alicia Keys,If I Ain't Got You,3XVBdLihbNbxUwZosxcGuJ
18,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,38jy6kRlPt8z1GUS9WXeNh
19,Corinne Bailey Rae,Corinne Bailey Rae,Breathless,3YPchhrSmcwMHl41aToYG1
20,Amy Winehouse,Back To Black (Deluxe Edition),Wake Up Alone,2pxCOdnHEZZ3A1XRNxjc1v
21,Adele,21,Rumour Has It,50yHVBbU6M4iIfqBI1bxWx
22,Florence + The Machine,Lungs (Deluxe Version),You've Got The Love,244AvzGQ4Ksa5637JQu5Gy
23,Colbie Caillat,Coco,Realize,6Vi6gx8IMRXORPx8fPd2YJ
24,Kesha,Animal (Expanded Edition),Take It Off,0WCiI0ddWiu5F2kSHgfw5S
25,Adele,21,Don't You Remember,48s4feNgV243gbAGTTBIrc
26,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],Imma Be,16sbugRbf9xEKlekuQ7Whm
27,James Morrison,"Songs For You, Truths For Me (International Exclusive Bundle)",Nothing Ever Hurt Like You,0f19yeMTQ5ygqwUhv46tdN
28,Florence + The Machine,Lungs (Deluxe Version),Cosmic Love,1myEOhXztRxUVfaAEQiKkU
29,Amy Winehouse,Back To Black,Me & Mr Jones,5RqIM2vv5nw2PGJBqPD8Rg
30,Bruno Mars,Doo-Wops & Hooligans,Marry You,6SKwQghsR8AISlxhcwyA9R
31,Rihanna,Loud,S&M,0C4ejWmOTMv8vuYj85mf8m
32,Alanis Morissette,Jagged Little Pill (Collector's Edition),Wake Up - 2015 Remaster,6pEU943aHfZdY4jhUpQ9ms
33,Emeli Sandé,Our Version Of Events (Special Edition),Daddy,2Wi4fV0hQZg9mx0H10bjip
34,Kelly Clarkson,Breakaway,Because of You,3f3omU8n47Mqyab5nCaGyT
35,Kesha,Animal (Expanded Edition),Your Love Is My Drug,6vc2Jq2vaGu8z326kSrw92
36,Leona Lewis,Echo,I Got You,1FbTceMivK92mVV3iGdwZk
37,James Blunt,All The Lost Souls,Shine On,3Y1JP1ulhlpgCqRzMQhVJr
38,Norah Jones,Come Away With Me,Come Away With Me,0Cvjlph1WGbwZY1PlMEtJY
39,Duffy,Rockferry,Mercy,1zusIxNqJu8i4g6P6hJ2Qa
40,Sia,Some People Have REAL Problems,I Go To Sleep,7lYAgrpZH9UlfPfy9mxNt5
41,Christina Perri,lovestrong.,arms,5u0YB9bpmgEPS2bPhwfRFV
42,Sara Bareilles,Kaleidoscope Heart,King of Anything,3VA8T3rNy5V24AXxNK5u9E
43,Adele,21,One and Only,0ZUHoyKB4dPqXG7MGvnQGm
44,Maroon 5,Songs About Jane: 10th Anniversary Edition,This Love,6ECp64rv50XVz93WvxXMGF
45,Duffy,Rockferry,Stepping Stone,3g9nxeJPQM4CxhHt1iNlB4
46,Sia,Music From Baz Luhrmann's Film The Great Gatsby (International Streaming Version),Kill And Run,6YdF6J3rz1BX6AZVhe7zgL
47,Ed Sheeran,+,Wake Me Up,0ygAYQQy7bfDN6gH640bbl
48,Florence + The Machine,Lungs (Deluxe Version),Dog Days Are Over,456WNXWhDwYOSf5SpTuqxd
49,Lady Gaga,The Fame,Paparazzi,02XnQdf7sipaKBBHixz3Zp
