,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,audio_features,2MvvoeRt8NcOXWESkxWn3g,spotify:track:2MvvoeRt8NcOXWESkxWn3g,https://api.spotify.com/v1/tracks/2MvvoeRt8NcOXWESkxWn3g,https://api.spotify.com/v1/audio-analysis/2MvvoeRt8NcOXWESkxWn3g,258969,4
1,0.742,0.546,1,-7.694,1,0.0315,0.172,0.38,0.115,0.868,104.996,audio_features,6UFivO2zqqPFPoQYsEMuCc,spotify:track:6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/tracks/6UFivO2zqqPFPoQYsEMuCc,https://api.spotify.com/v1/audio-analysis/6UFivO2zqqPFPoQYsEMuCc,260520,4
2,0.609,0.629,10,-5.024,1,0.0264,0.425,0.0,0.0978,0.325,99.955,audio_features,4Musyaro0NM5Awx8b5c627,spotify:track:4Musyaro0NM5Awx8b5c627,https://api.spotify.com/v1/tracks/4Musyaro0NM5Awx8b5c627,https://api.spotify.com/v1/audio-analysis/4Musyaro0NM5Awx8b5c627,241467,4
3,0.73,0.77,8,-5.114,1,0.0298,0.138,0.0,0.0473,0.507,104.948,audio_features,1eq1wUnLVLg4pdEfx9kajC,spotify:track:1eq1wUnLVLg4pdEfx9kajC,https://api.spotify.com/v1/tracks/1eq1wUnLVLg4pdEfx9kajC,https://api.spotify.com/v1/audio-analysis/1eq1wUnLVLg4pdEfx9kajC,228093,4
4,0.706,0.558,2,-7.237,0,0.0593,0.146,0.0,0.118,0.227,110.443,audio_features,4lLtanYk6tkMvooU0tWzG8,spotify:track:4lLtanYk6tkMvooU0tWzG8,https://api.spotify.com/v1/tracks/4lLtanYk6tkMvooU0tWzG8,https://api.spotify.com/v1/audio-analysis/4lLtanYk6tkMvooU0tWzG8,223253,4
5,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,audio_features,1QV6tiMFM6fSOKOGLMHYYg,spotify:track:1QV6tiMFM6fSOKOGLMHYYg,https://api.spotify.com/v1/tracks/1QV6tiMFM6fSOKOGLMHYYg,https://api.spotify.com/v1/audio-analysis/1QV6tiMFM6fSOKOGLMHYYg,237200,4
6,0.237,0.269,7,-9.61,0,0.0298,0.573,0.000283,0.101,0.0681,81.256,audio_features,21JTgoZLDB2F4Fx0uRCmTL,spotify:track:21JTgoZLDB2F4Fx0uRCmTL,https://api.spotify.com/v1/tracks/21JTgoZLDB2F4Fx0uRCmTL,https://api.spotify.com/v1/audio-analysis/21JTgoZLDB2F4Fx0uRCmTL,233480,4
7,0.638,0.826,8,-4.968,1,0.0479,0.139,0.0,0.0803,0.649,124.072,audio_features,4lCv7b86sLynZbXhfScfm2,spotify:track:4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/tracks/4lCv7b86sLynZbXhfScfm2,https://api.spotify.com/v1/audio-analysis/4lCv7b86sLynZbXhfScfm2,227880,4
8,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.00013,0.234,0.285,173.365,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
9,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.232,168.653,audio_features,4oa14QBfWRDfJy2agySy0L,spotify:track:4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/tracks/4oa14QBfWRDfJy2agySy0L,https://api.spotify.com/v1/audio-analysis/4oa14QBfWRDfJy2agySy0L,232760,4
10,0.676,0.807,5,-5.131,1,0.029,0.0284,0.0,0.0701,0.443,95.956,audio_features,7CHIJREUYyM7vndBQE6iMy,spotify:track:7CHIJREUYyM7vndBQE6iMy,https://api.spotify.com/v1/tracks/7CHIJREUYyM7vndBQE6iMy,https://api.spotify.com/v1/audio-analysis/7CHIJREUYyM7vndBQE6iMy,232520,4
11,0.605,0.934,0,-4.059,1,0.0377,0.0011,1.19e-05,0.185,0.75,101.913,audio_features,7LaNtA4nlbdbevO0Fc2pfm,spotify:track:7LaNtA4nlbdbevO0Fc2pfm,https://api.spotify.com/v1/tracks/7LaNtA4nlbdbevO0Fc2pfm,https://api.spotify.com/v1/audio-analysis/7LaNtA4nlbdbevO0Fc2pfm,279044,4
12,0.397,0.817,2,-5.495,1,0.042,0.0966,8.16e-06,0.316,0.416,158.004,audio_features,5scATmVtmhc3tkDpR026Da,spotify:track:5scATmVtmhc3tkDpR026Da,https://api.spotify.com/v1/tracks/5scATmVtmhc3tkDpR026Da,https://api.spotify.com/v1/audio-analysis/5scATmVtmhc3tkDpR026Da,266227,4
13,0.473,0.871,8,-4.732,1,0.0668,0.178,0.0,0.0584,0.578,156.0,audio_features,1y9U1pdI3naKK7sArioECH,spotify:track:1y9U1pdI3naKK7sArioECH,https://api.spotify.com/v1/tracks/1y9U1pdI3naKK7sArioECH,https://api.spotify.com/v1/audio-analysis/1y9U1pdI3naKK7sArioECH,224640,4
14,0.537,0.866,11,-3.08,0,0.0445,0.000308,1.38e-06,0.382,0.416,126.003,audio_features,4LyvsPgJtjUQQtw0FJ6Jys,spotify:track:4LyvsPgJtjUQQtw0FJ6Jys,https://api.spotify.com/v1/tracks/4LyvsPgJtjUQQtw0FJ6Jys,https://api.spotify.com/v1/audio-analysis/4LyvsPgJtjUQQtw0FJ6Jys,215160,4
15,0.643,0.502,11,-6.558,1,0.0392,0.07,0.0344,0.149,0.2,130.018,audio_features,2eaBBVEfoRK4MJYmIAeNw8,spotify:track:2eaBBVEfoRK4MJYmIAeNw8,https://api.spotify.com/v1/tracks/2eaBBVEfoRK4MJYmIAeNw8,https://api.spotify.com/v1/audio-analysis/2eaBBVEfoRK4MJYmIAeNw8,279960,4
16,0.399,0.721,4,-5.562,0,0.0523,0.0621,0.00282,0.278,0.113,160.125,audio_features,3uUCgL0cbSd0isnqhHCm1f,spotify:track:3uUCgL0cbSd0isnqhHCm1f,https://api.spotify.com/v1/tracks/3uUCgL0cbSd0isnqhHCm1f,https://api.spotify.com/v1/audio-analysis/3uUCgL0cbSd0isnqhHCm1f,299934,4
17,0.609,0.445,7,-9.129,1,0.106,0.603,6.77e-06,0.104,0.166,118.393,audio_features,3XVBdLihbNbxUwZosxcGuJ,spotify:track:3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,228707,3
18,0.573,0.454,3,-10.286,1,0.0258,0.479,1.36e-05,0.0974,0.515,140.187,audio_features,38jy6kRlPt8z1GUS9WXeNh,spotify:track:38jy6kRlPt8z1GUS9WXeNh,https://api.spotify.com/v1/tracks/38jy6kRlPt8z1GUS9WXeNh,https://api.spotify.com/v1/audio-analysis/38jy6kRlPt8z1GUS9WXeNh,216387,4
19,0.313,0.491,9,-7.939,1,0.0387,0.321,1.82e-06,0.0863,0.243,178.262,audio_features,3YPchhrSmcwMHl41aToYG1,spotify:track:3YPchhrSmcwMHl41aToYG1,https://api.spotify.com/v1/tracks/3YPchhrSmcwMHl41aToYG1,https://api.spotify.com/v1/audio-analysis/3YPchhrSmcwMHl41aToYG1,255387,3
20,0.583,0.271,11,-15.866,0,0.0299,0.545,0.0,0.148,0.235,102.678,audio_features,2pxCOdnHEZZ3A1XRNxjc1v,spotify:track:2pxCOdnHEZZ3A1XRNxjc1v,https://api.spotify.com/v1/tracks/2pxCOdnHEZZ3A1XRNxjc1v,https://api.spotify.com/v1/audio-analysis/2pxCOdnHEZZ3A1XRNxjc1v,222000,3
21,0.612,0.748,0,-5.014,1,0.0445,0.617,0.0,0.167,0.574,120.052,audio_features,50yHVBbU6M4iIfqBI1bxWx,spotify:track:50yHVBbU6M4iIfqBI1bxWx,https://api.spotify.com/v1/tracks/50yHVBbU6M4iIfqBI1bxWx,https://api.spotify.com/v1/audio-analysis/50yHVBbU6M4iIfqBI1bxWx,223267,4
22,0.574,0.694,6,-4.697,1,0.0327,0.00481,0.0,0.102,0.401,109.85,audio_features,244AvzGQ4Ksa5637JQu5Gy,spotify:track:244AvzGQ4Ksa5637JQu5Gy,https://api.spotify.com/v1/tracks/244AvzGQ4Ksa5637JQu5Gy,https://api.spotify.com/v1/audio-analysis/244AvzGQ4Ksa5637JQu5Gy,168667,4
23,0.695,0.599,1,-6.389,1,0.0317,0.117,0.0,0.118,0.187,123.948,audio_features,6Vi6gx8IMRXORPx8fPd2YJ,spotify:track:6Vi6gx8IMRXORPx8fPd2YJ,https://api.spotify.com/v1/tracks/6Vi6gx8IMRXORPx8fPd2YJ,https://api.spotify.com/v1/audio-analysis/6Vi6gx8IMRXORPx8fPd2YJ,244107,4
24,0.729,0.675,5,-5.292,0,0.0286,4.14e-05,0.00126,0.0867,0.74,125.036,audio_features,0WCiI0ddWiu5F2kSHgfw5S,spotify:track:0WCiI0ddWiu5F2kSHgfw5S,https://api.spotify.com/v1/tracks/0WCiI0ddWiu5F2kSHgfw5S,https://api.spotify.com/v1/audio-analysis/0WCiI0ddWiu5F2kSHgfw5S,215200,4
25,0.643,0.4,3,-5.712,1,0.0304,0.214,0.0,0.0866,0.226,115.023,audio_features,48s4feNgV243gbAGTTBIrc,spotify:track:48s4feNgV243gbAGTTBIrc,https://api.spotify.com/v1/tracks/48s4feNgV243gbAGTTBIrc,https://api.spotify.com/v1/audio-analysis/48s4feNgV243gbAGTTBIrc,243200,4
